"biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID","noDescription","charCountDescription","upperCaseDescription","startprice_99end"
"not biddable",159.99,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10001,"contains description",45,1,"99 ending"
"biddable",0.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 2",1,10002,"contains description",100,2,"99 ending"
"not biddable",199.99,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10003,"no description",0,0,"99 ending"
"not biddable",235,"new","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",0,10004,"no description",0,0,"not a 99 ending"
"not biddable",199.99,"refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",0,10005,"contains description",100,2,"99 ending"
"biddable",175,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad mini 2",1,10006,"no description",0,0,"not a 99 ending"
"biddable",100,"new","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10007,"no description",0,0,"not a 99 ending"
"not biddable",329.99,"new","No cellular","None","White","16/32/64 GB","iPad mini3",0,10008,"no description",0,0,"99 ending"
"biddable",0.99,"used","Cellular","Unknown","White","16/32/64 GB","iPad 1",1,10009,"no description",0,0,"99 ending"
"biddable",150,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10010,"no description",0,0,"not a 99 ending"
"not biddable",199.99,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10011,"contains description",92,0,"99 ending"
"not biddable",99.99,"refurbished","No cellular","None","White","16/32/64 GB","iPad 1",0,10012,"no description",0,0,"99 ending"
"biddable",20,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10013,"contains description",96,41,"not a 99 ending"
"not biddable",75,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10014,"no description",0,0,"not a 99 ending"
"not biddable",199.99,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",1,10015,"contains description",98,3,"99 ending"
"not biddable",344.95,"new","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10016,"no description",0,0,"not a 99 ending"
"not biddable",184.5,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10017,"contains description",100,4,"not a 99 ending"
"not biddable",209.98,"refurbished","No cellular","None","White","16/32/64 GB","iPad mini 2",0,10018,"contains description",100,6,"not a 99 ending"
"not biddable",375,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10019,"no description",0,0,"not a 99 ending"
"not biddable",95,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10020,"no description",0,0,"not a 99 ending"
"not biddable",125,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10021,"contains description",16,1,"not a 99 ending"
"not biddable",187.5,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10022,"contains description",84,3,"not a 99 ending"
"not biddable",129.99,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",0,10023,"contains description",27,23,"99 ending"
"not biddable",329.99,"new","Unknown","Unknown","Space Gray","Unknown","Unknown",0,10024,"no description",0,0,"99 ending"
"not biddable",149,"used","Cellular","Sprint/T-Mobile","White","16/32/64 GB","iPad Air 1/2",0,10025,"no description",0,0,"not a 99 ending"
"not biddable",238.8,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",0,10026,"contains description",96,4,"not a 99 ending"
"not biddable",84.99,"refurbished","Cellular","AT&T","Unknown","16/32/64 GB","iPad 1",1,10027,"contains description",16,15,"99 ending"
"not biddable",249.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,10028,"contains description",101,2,"99 ending"
"not biddable",309.99,"new","No cellular","None","White","16/32/64 GB","iPad 4",0,10029,"contains description",92,20,"99 ending"
"not biddable",319.95,"refurbished","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10030,"contains description",71,6,"not a 99 ending"
"not biddable",185,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10031,"contains description",96,2,"not a 99 ending"
"not biddable",90,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10032,"contains description",98,2,"not a 99 ending"
"not biddable",299.98,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10033,"contains description",100,6,"not a 99 ending"
"biddable",49,"new","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",1,10034,"no description",0,0,"not a 99 ending"
"not biddable",444.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10035,"no description",0,0,"99 ending"
"not biddable",480,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10036,"contains description",77,1,"not a 99 ending"
"not biddable",225,"new","Cellular","AT&T","Unknown","16/32/64 GB","iPad 3",1,10037,"contains description",20,1,"not a 99 ending"
"not biddable",79,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10038,"no description",0,0,"not a 99 ending"
"not biddable",189.85,"refurbished","Cellular","Unknown","White","16/32/64 GB","iPad 2",0,10039,"no description",0,0,"not a 99 ending"
"not biddable",159.99,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10040,"contains description",101,3,"99 ending"
"not biddable",199.99,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10041,"no description",0,0,"99 ending"
"not biddable",115,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10042,"contains description",14,1,"not a 99 ending"
"not biddable",289.95,"new","Cellular","Unknown","Black","16/32/64 GB","iPad 1",0,10043,"no description",0,0,"not a 99 ending"
"not biddable",499.95,"new","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10044,"contains description",81,7,"not a 99 ending"
"not biddable",199.99,"refurbished","Cellular","Verizon","Black","16/32/64 GB","iPad 2",1,10045,"contains description",98,3,"99 ending"
"not biddable",550,"new","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,10046,"no description",0,0,"not a 99 ending"
"not biddable",209.99,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10047,"contains description",100,2,"99 ending"
"not biddable",185,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10048,"contains description",96,2,"not a 99 ending"
"biddable",100,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 4",1,10049,"contains description",11,0,"not a 99 ending"
"biddable",279.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad Air 1/2",1,10050,"no description",0,0,"99 ending"
"not biddable",614.99,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2",1,10051,"no description",0,0,"99 ending"
"not biddable",259,"new","Cellular","AT&T","Unknown","16/32/64 GB","iPad 3",0,10052,"contains description",81,2,"not a 99 ending"
"not biddable",240,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",0,10053,"no description",0,0,"not a 99 ending"
"not biddable",69.99,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10054,"no description",0,0,"99 ending"
"not biddable",398.99,"used","No cellular","None","Unknown","128 GB","iPad Air 1/2",0,10055,"contains description",8,2,"99 ending"
"biddable",175,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",1,10056,"no description",0,0,"not a 99 ending"
"not biddable",84.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",0,10057,"no description",0,0,"99 ending"
"not biddable",269.99,"new","No cellular","None","Black","16/32/64 GB","iPad 1",0,10058,"no description",0,0,"99 ending"
"not biddable",295,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 4",0,10059,"contains description",31,1,"not a 99 ending"
"not biddable",210,"used","Cellular","Sprint/T-Mobile","White","16/32/64 GB","iPad mini",0,10060,"contains description",70,3,"not a 99 ending"
"biddable",160,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10061,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10062,"contains description",100,2,"99 ending"
"not biddable",304.89,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,10063,"contains description",96,15,"not a 99 ending"
"biddable",0.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 2",1,10064,"contains description",100,2,"99 ending"
"not biddable",195,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10065,"no description",0,0,"not a 99 ending"
"not biddable",319,"new","Unknown","Unknown","Gold","Unknown","Unknown",0,10066,"no description",0,0,"not a 99 ending"
"not biddable",389.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10067,"no description",0,0,"99 ending"
"not biddable",79.99,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10068,"contains description",93,4,"99 ending"
"not biddable",254.99,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 4",0,10069,"no description",0,0,"99 ending"
"biddable",115,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 3",1,10070,"contains description",101,2,"not a 99 ending"
"not biddable",159.95,"used","Cellular","Unknown","Black","16/32/64 GB","iPad 2",0,10071,"contains description",98,3,"not a 99 ending"
"not biddable",279.99,"used","Unknown","Unknown","Unknown","Unknown","iPad Air 1/2",0,10072,"contains description",86,3,"99 ending"
"biddable",99.99,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 2",1,10073,"no description",0,0,"99 ending"
"biddable",75,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10074,"no description",0,0,"not a 99 ending"
"biddable",135,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10075,"no description",0,0,"not a 99 ending"
"not biddable",130,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10076,"contains description",93,6,"not a 99 ending"
"not biddable",119.95,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10077,"contains description",98,3,"not a 99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10078,"no description",0,0,"not a 99 ending"
"not biddable",269.94,"new","No cellular","None","Black","16/32/64 GB","iPad 2",0,10079,"no description",0,0,"not a 99 ending"
